plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,churn
Plus,999,8,10,3,3,4,1,1,200,1
Plus,999,46,9,0,1,1,0,1,200,1
Basic,699,12,5,6,4,6,1,0,100,1
Premium,1499,32,5,3,8,4,1,1,500,1
Premium,1499,42,2,4,1,2,0,0,500,0
Basic,699,34,3,2,4,5,1,1,100,0
Plus,999,42,8,5,6,2,1,1,200,1
Basic,699,44,2,7,6,2,0,1,100,1
Premium,1499,46,0,7,1,2,0,1,500,1
Basic,699,52,0,3,3,0,1,0,100,0
Basic,699,28,3,2,7,3,1,0,100,0
Basic,699,40,10,1,4,6,0,0,100,1
Premium,1499,14,8,8,8,2,1,1,500,1
Plus,999,7,1,4,8,3,1,1,200,0
Basic,699,35,7,3,0,4,0,1,100,1
Plus,999,9,2,8,8,3,0,0,200,1
Plus,999,6,0,4,5,1,1,0,200,0
Basic,699,5,4,4,4,3,0,0,100,0
Plus,999,59,6,5,1,6,1,0,200,1
Basic,699,60,7,5,4,0,1,1,100,1
Premium,1499,25,0,8,1,6,0,1,500,1
Plus,999,45,0,6,7,0,0,0,200,1
Plus,999,36,1,1,7,1,0,0,200,0
Ultra,2499,19,0,5,4,5,1,0,1000,1
Basic,699,57,2,4,1,4,0,1,100,0
Ultra,2499,13,0,2,4,1,1,1,1000,0
Premium,1499,8,2,7,8,3,0,1,500,1
Ultra,2499,17,1,4,2,5,1,0,1000,0
Plus,999,35,8,3,8,4,1,0,200,1
Basic,699,42,0,8,3,6,1,1,100,1
Plus,999,3,4,5,4,1,1,1,200,1
Ultra,2499,8,7,8,2,2,1,1,1000,1
Premium,1499,14,1,0,0,6,1,1,500,0
Premium,1499,48,1,4,2,6,1,0,500,0
Plus,999,9,1,5,0,0,1,0,200,1
Basic,699,17,3,7,7,4,1,0,100,1
Premium,1499,28,3,4,8,3,0,0,500,0
Premium,1499,53,6,8,1,5,0,0,500,1
Plus,999,39,5,1,1,5,1,0,200,1
Ultra,2499,5,4,2,6,1,0,1,1000,0
Ultra,2499,17,6,5,6,3,1,1,1000,1
Basic,699,5,8,2,7,6,0,0,100,1
Basic,699,48,3,7,3,4,1,0,100,1
Basic,699,2,0,1,1,3,1,1,100,1
Plus,999,35,7,2,3,3,1,0,200,1
Basic,699,55,7,1,5,2,1,0,100,1
Ultra,2499,38,10,8,3,6,0,0,1000,1
Basic,699,26,10,0,3,4,1,1,100,1
Premium,1499,16,7,0,2,6,1,1,500,1
Premium,1499,24,2,7,8,6,1,1,500,1
Premium,1499,52,6,8,4,0,1,1,500,1
Premium,1499,6,8,4,8,6,1,1,500,1
Premium,1499,34,1,3,6,4,1,1,500,0
Ultra,2499,6,6,8,3,0,1,1,1000,1
Basic,699,54,8,3,6,6,1,1,100,1
Ultra,2499,4,6,7,5,0,0,0,1000,1
Premium,1499,10,9,3,1,1,1,1,500,1
Plus,999,58,1,3,3,0,0,1,200,0
Premium,1499,26,0,7,5,0,1,1,500,1
Plus,999,32,8,0,2,1,1,0,200,1
Ultra,2499,37,2,5,7,6,1,0,1000,1
Basic,699,17,8,0,2,0,0,0,100,1
Premium,1499,41,7,6,1,4,1,0,500,1
Plus,999,42,10,0,0,6,0,0,200,1
Plus,999,39,5,3,2,0,1,0,200,1
Premium,1499,20,4,1,8,0,1,0,500,0
Ultra,2499,38,2,2,6,2,1,1,1000,0
Plus,999,36,0,2,8,3,0,1,200,0
Premium,1499,54,2,2,3,6,0,0,500,0
Ultra,2499,2,8,7,1,2,1,0,1000,1
Ultra,2499,41,8,2,3,4,0,1,1000,1
Plus,999,11,9,4,8,2,1,1,200,1
Ultra,2499,37,4,0,7,2,1,0,1000,0
Basic,699,54,1,4,0,2,0,0,100,0
Basic,699,55,1,8,4,5,1,1,100,1
Ultra,2499,26,5,2,3,4,1,1,1000,1
Plus,999,25,1,4,4,4,1,0,200,0
Ultra,2499,2,4,3,1,0,0,0,1000,0
Basic,699,36,6,0,3,3,1,0,100,1
Ultra,2499,15,0,5,0,3,0,1,1000,1
Plus,999,56,1,0,4,1,0,1,200,0
Basic,699,33,10,4,6,0,1,0,100,1
Plus,999,52,3,1,5,1,1,0,200,0
Plus,999,15,5,6,1,1,1,0,200,1
Premium,1499,56,0,7,0,2,1,0,500,1
Basic,699,48,6,6,4,1,0,0,100,1
Basic,699,32,10,0,4,2,1,0,100,1
Plus,999,6,10,2,6,1,0,1,200,1
Ultra,2499,34,7,6,0,3,1,0,1000,1
Premium,1499,21,5,4,4,0,0,1,500,1
Ultra,2499,36,9,8,5,2,0,1,1000,1
Premium,1499,52,3,5,4,2,1,1,500,1
Plus,999,10,8,5,4,1,1,0,200,1
Plus,999,24,8,0,8,6,0,0,200,1
Ultra,2499,39,8,3,8,0,1,0,1000,1
Plus,999,14,7,2,8,6,1,0,200,1
Premium,1499,11,2,0,1,5,1,1,500,0
Plus,999,49,4,1,1,2,0,1,200,0
Premium,1499,57,8,3,4,0,0,0,500,1
Basic,699,16,1,6,8,6,1,1,100,1
Basic,699,18,9,5,6,4,1,0,100,1
Ultra,2499,3,0,7,1,6,0,1,1000,1
Plus,999,37,5,2,8,2,1,0,200,1
Plus,999,22,10,8,3,6,0,0,200,1
Premium,1499,51,3,2,6,5,0,0,500,0
Premium,1499,43,6,7,0,0,0,1,500,1
Ultra,2499,51,5,5,5,2,1,1,1000,1
Premium,1499,51,7,3,6,0,1,1,500,1
Basic,699,25,1,1,2,0,0,1,100,0
Premium,1499,39,6,5,2,2,1,1,500,1
Plus,999,6,5,3,3,4,0,0,200,1
Basic,699,24,0,4,0,2,0,0,100,0
Plus,999,46,4,3,6,1,0,1,200,0
Plus,999,36,5,6,0,3,1,0,200,1
Premium,1499,36,9,8,5,6,0,1,500,1
Basic,699,13,0,6,3,3,1,0,100,1
Basic,699,32,10,3,6,3,1,1,100,1
Ultra,2499,60,0,7,7,2,1,0,1000,1
Ultra,2499,44,8,1,2,0,0,1,1000,1
Basic,699,16,6,5,1,2,0,0,100,1
Plus,999,19,3,0,3,5,1,0,200,0
Basic,699,6,4,1,2,1,1,0,100,0
Basic,699,22,10,5,4,2,0,0,100,1
Premium,1499,56,2,8,1,2,1,1,500,1
Plus,999,18,1,3,4,6,0,1,200,0
Basic,699,15,5,0,6,5,1,1,100,1
Ultra,2499,35,7,8,2,6,0,0,1000,1
Ultra,2499,1,2,1,6,1,0,1,1000,0
Plus,999,12,9,0,1,4,1,0,200,1
Premium,1499,33,8,0,3,6,1,0,500,1
Plus,999,48,3,2,1,1,0,0,200,0
Ultra,2499,19,0,8,4,0,0,0,1000,1
Plus,999,3,0,0,2,4,0,1,200,0
Ultra,2499,58,4,7,2,5,0,1,1000,1
Premium,1499,32,0,5,4,5,1,1,500,1
Basic,699,13,5,4,4,1,0,1,100,1
Ultra,2499,49,5,4,1,5,0,1,1000,1
Premium,1499,29,10,4,2,6,0,1,500,1
Premium,1499,20,0,2,5,6,1,0,500,0
Basic,699,35,4,3,3,0,1,1,100,0
Ultra,2499,21,10,2,0,6,1,0,1000,1
Ultra,2499,31,2,7,8,5,0,1,1000,1
Plus,999,59,4,4,2,0,0,0,200,0
Plus,999,5,10,8,6,4,0,0,200,1
Premium,1499,29,10,4,7,0,0,1,500,1
Plus,999,34,6,2,8,5,0,1,200,1
Premium,1499,47,10,1,4,4,0,0,500,1
Basic,699,10,2,0,1,1,1,0,100,0
Ultra,2499,4,10,2,4,2,0,0,1000,1
Ultra,2499,25,7,4,8,6,0,1,1000,1
Plus,999,42,1,0,5,4,0,0,200,0
Ultra,2499,56,4,6,5,3,1,0,1000,1
Plus,999,60,7,2,4,1,1,0,200,1
Basic,699,17,1,4,5,6,0,0,100,0
Ultra,2499,24,0,1,4,2,1,0,1000,0
Ultra,2499,45,2,4,5,3,0,1,1000,0
Ultra,2499,49,7,6,4,2,1,0,1000,1
Basic,699,35,0,5,4,5,1,1,100,1
Ultra,2499,41,0,0,8,5,0,0,1000,0
Basic,699,45,6,2,3,2,1,0,100,1
Ultra,2499,8,3,8,3,3,1,0,1000,1
Premium,1499,10,0,4,1,5,1,1,500,0
Basic,699,15,6,1,3,1,0,0,100,1
Premium,1499,28,0,4,1,1,1,1,500,0
Basic,699,49,5,8,6,1,1,0,100,1
Ultra,2499,19,4,1,5,1,0,0,1000,0
Premium,1499,42,3,1,1,4,1,1,500,0
Ultra,2499,57,8,8,5,5,1,1,1000,1
Ultra,2499,57,10,6,8,4,1,0,1000,1
Basic,699,59,5,3,7,5,1,1,100,1
Premium,1499,17,9,2,5,6,1,1,500,1
Basic,699,49,0,6,6,1,0,0,100,1
Premium,1499,7,10,5,4,5,0,1,500,1
Plus,999,51,8,2,7,6,1,1,200,1
Ultra,2499,60,2,3,0,4,1,0,1000,0
Basic,699,8,3,1,8,5,0,1,100,0
Ultra,2499,45,8,3,5,5,1,1,1000,1
Basic,699,41,8,2,4,0,1,1,100,1
Ultra,2499,3,5,5,0,4,1,0,1000,1
Basic,699,38,5,1,2,3,0,0,100,1
Basic,699,19,6,1,1,2,0,1,100,1
Basic,699,26,6,5,7,4,0,1,100,1
Plus,999,13,8,0,3,5,1,0,200,1
Ultra,2499,60,2,5,4,2,1,1,1000,1
Ultra,2499,15,10,8,1,5,0,0,1000,1
Premium,1499,28,10,6,7,1,1,1,500,1
Plus,999,1,2,3,1,5,0,1,200,0
Plus,999,30,9,0,1,3,0,0,200,1
Ultra,2499,29,7,2,7,4,0,1,1000,1
Basic,699,6,4,2,2,4,1,1,100,0
Ultra,2499,40,1,2,6,3,0,0,1000,0
Plus,999,6,6,8,4,6,1,0,200,1
Premium,1499,8,8,8,6,5,1,0,500,1
Premium,1499,41,0,7,6,3,1,1,500,1
Ultra,2499,40,10,4,8,3,0,1,1000,1
Basic,699,60,9,3,5,4,0,0,100,1
Basic,699,33,3,4,8,3,0,1,100,0
Plus,999,54,10,3,8,6,1,1,200,1
Plus,999,58,10,0,8,5,0,0,200,1
Plus,999,49,7,8,5,4,0,1,200,1
Plus,999,17,0,3,3,6,0,1,200,0
Ultra,2499,24,7,4,7,6,0,0,1000,1
Basic,699,43,8,3,3,6,1,1,100,1
Premium,1499,14,7,0,8,3,0,0,500,1
Plus,999,9,4,6,8,2,1,0,200,1
Premium,1499,51,7,5,0,5,0,0,500,1
Plus,999,41,5,7,7,6,1,1,200,1
Premium,1499,22,1,7,2,5,1,0,500,1
Ultra,2499,22,1,6,7,4,1,0,1000,1
Basic,699,3,2,7,6,0,0,0,100,1
Premium,1499,2,10,3,2,3,0,1,500,1
Plus,999,37,10,3,5,0,1,0,200,1
Basic,699,21,2,6,1,4,1,0,100,1
Basic,699,35,7,2,2,1,0,1,100,1
Plus,999,50,0,0,4,3,1,0,200,0
Basic,699,27,7,0,2,5,1,0,100,1
Basic,699,49,0,8,3,6,1,0,100,1
Premium,1499,29,2,2,5,5,0,1,500,0
Basic,699,21,10,2,0,0,0,0,100,1
Ultra,2499,5,9,0,7,0,1,1,1000,1
Basic,699,55,0,1,3,3,1,0,100,0
Premium,1499,17,9,5,5,3,0,1,500,1
Ultra,2499,22,6,6,4,6,0,0,1000,1
Basic,699,57,10,5,6,3,0,1,100,1
Plus,999,21,3,8,6,6,0,1,200,1
Plus,999,23,10,4,0,0,1,0,200,1
Ultra,2499,56,9,0,6,3,0,1,1000,1
Basic,699,2,10,3,3,2,1,1,100,1
Plus,999,54,4,4,4,2,1,0,200,0
Plus,999,54,8,0,2,3,0,1,200,1
Ultra,2499,31,10,6,1,0,0,1,1000,1
Ultra,2499,22,4,1,6,4,0,0,1000,0
Plus,999,38,5,8,4,4,0,0,200,1
Plus,999,46,0,1,4,0,1,0,200,0
Plus,999,56,0,7,5,0,1,1,200,1
Basic,699,58,8,8,6,3,1,1,100,1
Premium,1499,41,3,2,0,2,0,0,500,0
Plus,999,36,10,5,2,3,0,1,200,1
Basic,699,27,1,4,7,3,1,0,100,0
Ultra,2499,18,2,6,4,5,0,1,1000,1
Plus,999,2,3,3,6,0,0,0,200,0
Basic,699,22,6,5,2,4,0,1,100,1
Plus,999,46,9,2,8,0,0,1,200,1
Ultra,2499,9,0,5,2,0,0,0,1000,1
Ultra,2499,35,3,6,3,2,1,0,1000,1
Plus,999,36,4,5,1,3,0,0,200,1
Basic,699,50,8,6,1,0,0,0,100,1
Basic,699,33,7,4,8,6,0,0,100,1
Premium,1499,59,4,7,7,0,1,1,500,1
Basic,699,60,4,6,0,6,0,1,100,1
Basic,699,56,0,7,0,1,1,0,100,1
Basic,699,23,6,1,6,6,1,0,100,1
Premium,1499,45,3,8,5,2,1,1,500,1
Basic,699,34,6,7,7,6,1,1,100,1
Ultra,2499,34,5,3,1,3,0,0,1000,1
Plus,999,27,10,6,2,0,0,1,200,1
Plus,999,49,10,4,2,6,1,1,200,1
Plus,999,49,0,3,2,4,1,0,200,0
Basic,699,59,0,8,3,5,1,0,100,1
Basic,699,58,4,5,0,4,0,0,100,1
Ultra,2499,16,10,8,1,5,0,0,1000,1
Plus,999,59,5,7,6,1,1,0,200,1
Basic,699,57,3,2,6,2,0,0,100,0
Plus,999,47,2,7,2,1,0,0,200,1
Ultra,2499,47,5,3,8,4,0,1,1000,1
Plus,999,18,0,1,0,2,1,1,200,0
Ultra,2499,11,1,6,8,1,1,0,1000,1
Basic,699,42,10,0,1,1,1,0,100,1
Plus,999,47,5,7,7,5,0,1,200,1
Plus,999,50,8,1,5,4,1,1,200,1
Premium,1499,39,4,1,6,0,1,0,500,0
Plus,999,55,5,1,0,0,1,0,200,1
Premium,1499,31,2,7,4,3,1,0,500,1
Basic,699,33,1,6,0,4,1,1,100,1
Ultra,2499,9,4,6,7,3,0,0,1000,1
Ultra,2499,27,9,8,7,5,1,0,1000,1
Basic,699,32,4,4,5,0,1,1,100,0
Basic,699,4,9,4,7,1,1,1,100,1
Basic,699,40,5,5,5,0,0,1,100,1
Ultra,2499,8,5,6,2,3,1,0,1000,1
Basic,699,47,6,8,0,3,1,0,100,1
Ultra,2499,41,6,4,8,4,0,0,1000,1
Premium,1499,18,3,4,5,4,1,0,500,0
Plus,999,23,6,3,6,5,0,0,200,1
Plus,999,27,9,5,6,4,1,1,200,1
Premium,1499,7,4,6,1,3,1,0,500,1
Ultra,2499,27,5,2,4,6,1,1,1000,1
Plus,999,28,5,7,2,6,1,0,200,1
Basic,699,37,5,6,2,3,1,1,100,1
Premium,1499,32,0,3,6,2,0,0,500,0
Ultra,2499,51,9,1,2,1,1,1,1000,1
Plus,999,59,10,8,3,0,0,1,200,1
Premium,1499,42,1,1,5,5,0,1,500,0
Plus,999,1,1,8,5,5,0,1,200,1
Plus,999,13,1,1,7,4,0,0,200,0
Basic,699,23,8,3,8,6,0,0,100,1
Ultra,2499,11,0,5,2,6,1,0,1000,1
Ultra,2499,41,8,1,6,6,0,0,1000,1
Basic,699,34,8,0,3,3,0,1,100,1
Premium,1499,7,1,8,1,3,0,0,500,1
Basic,699,60,3,1,3,6,1,0,100,0
Plus,999,32,10,4,5,5,1,1,200,1
Premium,1499,1,4,2,4,6,0,1,500,0
Plus,999,19,9,5,0,1,1,0,200,1
Premium,1499,45,2,6,2,1,0,0,500,1
Basic,699,60,8,7,7,1,0,1,100,1
Plus,999,20,0,1,2,1,1,1,200,0
Plus,999,6,10,7,3,4,0,0,200,1
Plus,999,19,7,6,3,6,1,0,200,1
Plus,999,44,9,6,5,4,1,1,200,1
Plus,999,51,10,5,4,6,0,0,200,1
Plus,999,51,10,1,1,2,0,0,200,1
Basic,699,54,7,6,5,6,0,0,100,1
Plus,999,16,10,1,1,2,0,0,200,1
Premium,1499,6,3,3,4,6,0,0,500,0
Premium,1499,33,7,7,0,3,0,0,500,1
Basic,699,34,1,4,7,0,1,0,100,0
Premium,1499,5,5,0,1,4,0,0,500,1
Ultra,2499,29,4,1,2,0,0,0,1000,0
Basic,699,38,5,8,5,4,0,1,100,1
Premium,1499,3,2,6,6,2,0,0,500,1
Premium,1499,3,5,7,3,3,1,0,500,1
Ultra,2499,21,7,1,4,5,1,0,1000,1
Plus,999,38,2,4,6,0,0,0,200,0
Basic,699,17,8,7,6,6,0,0,100,1
Premium,1499,58,5,5,0,5,0,0,500,1
Ultra,2499,39,2,1,0,5,1,0,1000,0
Plus,999,54,0,5,5,6,0,0,200,1
Premium,1499,56,8,8,0,2,1,0,500,1
Plus,999,26,7,7,6,0,1,1,200,1
Plus,999,8,0,0,1,3,0,0,200,0
Plus,999,46,5,1,6,5,0,0,200,1
Basic,699,27,7,0,1,1,0,1,100,1
Basic,699,54,10,5,6,5,1,0,100,1
Basic,699,57,2,0,3,2,0,0,100,0
Plus,999,19,3,4,7,1,1,0,200,0
Ultra,2499,60,4,4,2,0,1,1,1000,0
Basic,699,18,2,0,4,2,1,1,100,0
Premium,1499,44,10,6,6,0,1,0,500,1
Premium,1499,43,10,0,5,2,0,0,500,1
Plus,999,13,8,3,4,0,1,1,200,1
Premium,1499,30,8,3,2,2,0,0,500,1
Ultra,2499,15,2,0,8,4,1,1,1000,0
Premium,1499,7,0,5,5,1,1,1,500,1
Ultra,2499,12,1,4,1,2,0,0,1000,0
Plus,999,16,4,0,6,3,1,1,200,0
Basic,699,40,0,3,0,2,1,1,100,0
Basic,699,35,7,8,0,4,0,0,100,1
Basic,699,42,10,5,7,4,1,0,100,1
Ultra,2499,25,10,7,8,5,0,0,1000,1
Ultra,2499,9,5,6,7,6,1,1,1000,1
Basic,699,42,5,6,1,0,0,1,100,1
Ultra,2499,16,5,5,5,5,1,1,1000,1
Plus,999,52,6,3,5,5,1,1,200,1
Plus,999,12,1,6,4,5,1,0,200,1
Premium,1499,9,0,6,3,1,0,1,500,1
Basic,699,29,6,4,5,5,0,0,100,1
Premium,1499,6,6,5,1,4,1,1,500,1
Premium,1499,49,0,5,5,6,1,1,500,1
Ultra,2499,41,3,2,1,3,0,1,1000,0
Plus,999,42,6,2,8,2,0,1,200,1
Ultra,2499,49,8,5,2,2,0,1,1000,1
Premium,1499,30,4,0,0,3,0,0,500,0
Basic,699,60,0,8,5,4,0,1,100,1
Premium,1499,38,10,7,6,1,1,1,500,1
Basic,699,18,6,2,4,4,0,1,100,1
Basic,699,3,3,8,6,5,1,0,100,1
Premium,1499,40,6,8,0,6,1,1,500,1
Plus,999,47,4,2,6,1,1,0,200,0
Plus,999,56,1,7,2,4,0,0,200,1
Plus,999,45,6,6,7,1,1,0,200,1
Plus,999,40,7,3,6,5,1,1,200,1
Ultra,2499,39,8,3,4,0,1,1,1000,1
Basic,699,13,9,4,1,6,1,0,100,1
Basic,699,37,3,7,1,6,0,1,100,1
Plus,999,41,3,3,3,4,1,1,200,0
Premium,1499,6,10,6,6,3,1,1,500,1
Premium,1499,38,0,1,5,0,0,0,500,0
Basic,699,6,8,1,1,0,1,0,100,1
Plus,999,20,10,8,3,0,1,0,200,1
Premium,1499,13,2,2,1,5,0,0,500,0
Premium,1499,54,8,0,5,3,0,1,500,1
Basic,699,19,6,7,0,1,1,0,100,1
Ultra,2499,60,5,7,2,4,0,0,1000,1
Plus,999,5,9,4,3,4,1,1,200,1
Basic,699,35,2,0,4,4,1,1,100,0
Plus,999,17,1,8,3,3,0,1,200,1
Plus,999,51,2,8,4,4,0,1,200,1
Premium,1499,46,7,4,1,2,0,1,500,1
Plus,999,48,3,5,4,5,1,1,200,1
Ultra,2499,35,10,2,3,6,1,0,1000,1
Basic,699,36,4,0,6,0,1,1,100,0
Plus,999,52,0,5,8,0,0,1,200,1
Ultra,2499,15,2,3,1,5,1,0,1000,0
Basic,699,33,10,1,8,3,1,0,100,1
Premium,1499,11,4,8,5,1,1,1,500,1
Basic,699,31,2,1,3,4,0,0,100,0
Basic,699,15,5,5,7,4,1,1,100,1
Plus,999,30,0,7,0,3,1,1,200,1
Plus,999,43,2,1,1,3,0,1,200,0
Basic,699,21,5,5,0,4,0,1,100,1
Ultra,2499,46,8,5,0,4,1,1,1000,1
Plus,999,58,2,2,5,2,0,0,200,0
Premium,1499,16,6,1,1,1,1,1,500,1
Basic,699,20,7,6,3,2,0,1,100,1
Plus,999,23,10,6,7,6,0,1,200,1
Ultra,2499,24,10,1,7,5,1,1,1000,1
Plus,999,22,0,2,2,3,1,0,200,0
Plus,999,46,6,7,7,2,0,0,200,1
Ultra,2499,47,4,1,6,5,1,1,1000,0
Basic,699,47,10,6,7,5,1,0,100,1
Plus,999,15,8,1,4,0,1,0,200,1
Ultra,2499,39,0,4,2,4,1,0,1000,0
Basic,699,11,5,0,2,4,1,1,100,1
Basic,699,9,7,8,0,2,1,1,100,1
Plus,999,52,0,2,7,0,0,1,200,0
Ultra,2499,27,8,1,2,2,0,1,1000,1
Premium,1499,55,4,3,2,5,0,0,500,0
Plus,999,31,1,3,2,0,1,1,200,0
Premium,1499,48,10,0,0,5,0,1,500,1
Basic,699,8,1,6,5,5,1,1,100,1
Premium,1499,16,2,3,7,0,0,0,500,0
Ultra,2499,3,0,1,5,6,1,0,1000,1
Basic,699,46,8,3,0,5,0,0,100,1
Premium,1499,26,5,0,6,2,0,1,500,1
Plus,999,4,10,8,6,3,1,0,200,1
Plus,999,11,1,8,4,0,0,1,200,1
Premium,1499,32,2,0,7,4,0,0,500,0
Plus,999,60,10,3,7,0,1,1,200,1
Plus,999,44,1,3,4,0,1,0,200,0
Basic,699,45,7,0,0,0,0,0,100,1
Plus,999,10,10,0,2,5,0,0,200,1
Premium,1499,46,5,1,5,2,1,0,500,1
Premium,1499,11,8,6,4,6,0,0,500,1
Ultra,2499,13,1,3,4,0,1,0,1000,0
Plus,999,39,8,1,6,1,1,0,200,1
Plus,999,41,5,8,0,6,1,0,200,1
Basic,699,46,4,7,7,6,0,0,100,1
Ultra,2499,25,0,0,4,4,0,0,1000,0
Basic,699,15,1,6,3,4,0,0,100,1
Ultra,2499,30,0,5,1,2,0,0,1000,1
Premium,1499,14,4,1,2,2,1,0,500,0
Basic,699,52,4,1,0,0,0,0,100,0
Premium,1499,17,0,2,7,1,1,1,500,0
Ultra,2499,38,7,7,3,4,0,0,1000,1
Basic,699,32,8,6,8,4,0,1,100,1
Ultra,2499,28,5,3,3,5,0,0,1000,1
Premium,1499,1,1,2,6,3,0,0,500,0
Ultra,2499,32,3,1,2,3,1,1,1000,0
Basic,699,17,0,7,0,5,1,1,100,1
Premium,1499,56,0,1,8,3,1,1,500,0
Ultra,2499,60,6,7,5,3,1,1,1000,1
Plus,999,6,2,2,3,5,0,1,200,0
Basic,699,52,3,2,4,4,1,0,100,0
Plus,999,48,5,5,4,2,0,0,200,1
Plus,999,2,10,4,1,4,1,1,200,1
Ultra,2499,8,1,3,7,0,0,0,1000,0
Basic,699,34,6,3,6,1,0,0,100,1
Ultra,2499,11,9,0,2,2,1,0,1000,1
Ultra,2499,51,6,4,4,2,0,0,1000,1
Premium,1499,44,6,1,1,2,1,0,500,1
Premium,1499,50,10,7,7,5,1,0,500,1
Premium,1499,39,3,4,5,6,1,0,500,0
Basic,699,42,6,0,3,2,0,1,100,1
Ultra,2499,19,2,7,3,4,1,0,1000,1
Plus,999,45,3,0,1,3,0,1,200,0
Plus,999,20,0,3,4,6,0,1,200,0
Ultra,2499,54,8,4,7,4,0,0,1000,1
Plus,999,9,3,5,4,6,0,1,200,1
Ultra,2499,2,2,8,1,4,1,1,1000,1
Plus,999,58,10,1,2,1,0,1,200,1
Basic,699,35,2,2,2,6,0,1,100,0
Basic,699,17,6,2,1,3,0,0,100,1
Ultra,2499,21,1,2,5,0,1,1,1000,0
Premium,1499,18,5,1,7,6,1,1,500,1
Ultra,2499,22,2,8,6,6,1,0,1000,1
Plus,999,16,4,6,7,3,1,0,200,1
Basic,699,55,2,4,8,0,0,0,100,0
Basic,699,46,1,8,8,4,1,0,100,1
Premium,1499,6,7,6,1,3,1,0,500,1
Plus,999,38,2,1,4,0,1,1,200,0
Basic,699,3,5,3,7,3,1,0,100,1
Plus,999,18,0,2,7,0,1,1,200,0
Premium,1499,25,0,1,4,3,1,1,500,0
Basic,699,35,8,1,1,1,1,1,100,1
Basic,699,43,4,3,2,2,1,1,100,0
Premium,1499,18,6,8,2,4,0,0,500,1
Ultra,2499,21,1,5,2,1,1,1,1000,1
Plus,999,40,3,0,8,0,1,1,200,0
Premium,1499,42,10,1,4,3,1,1,500,1
Plus,999,9,9,3,6,3,0,0,200,1
Ultra,2499,57,0,1,6,2,0,1,1000,0
Premium,1499,49,6,4,2,3,0,0,500,1
Premium,1499,44,3,6,8,1,0,0,500,1
Premium,1499,42,7,8,6,5,0,1,500,1
Plus,999,60,5,7,4,0,1,1,200,1
Premium,1499,23,5,1,2,0,1,0,500,1
Ultra,2499,4,9,3,2,2,0,0,1000,1
Basic,699,32,1,3,3,2,1,1,100,0
Ultra,2499,27,10,3,6,4,1,0,1000,1
Basic,699,23,7,5,5,2,0,0,100,1
Ultra,2499,43,7,3,0,1,0,0,1000,1
Ultra,2499,33,4,6,8,4,1,1,1000,1
Plus,999,12,4,8,6,2,1,0,200,1
Basic,699,25,7,1,1,2,1,0,100,1
Basic,699,54,3,5,3,0,1,1,100,1
Basic,699,42,4,5,1,5,0,0,100,1
Plus,999,25,10,2,2,1,0,0,200,1
Ultra,2499,4,8,5,2,3,0,0,1000,1
Basic,699,32,1,1,1,3,0,1,100,0
Premium,1499,19,9,2,8,0,0,1,500,1
Ultra,2499,35,0,8,4,6,1,1,1000,1
Premium,1499,7,5,1,1,0,1,0,500,1
Ultra,2499,10,3,8,5,1,1,1,1000,1
Ultra,2499,43,3,3,7,1,1,1,1000,0
Ultra,2499,50,2,4,1,3,1,1,1000,0
Ultra,2499,16,6,7,1,2,0,0,1000,1
Premium,1499,29,7,6,5,1,0,1,500,1
Plus,999,58,8,3,6,1,1,0,200,1
Premium,1499,56,3,7,6,6,1,1,500,1
Ultra,2499,31,1,6,1,0,1,1,1000,1
Basic,699,58,6,7,3,6,0,1,100,1
Basic,699,15,1,7,6,2,0,1,100,1
Basic,699,11,1,3,0,1,1,0,100,0
Premium,1499,35,8,4,2,2,1,0,500,1
Basic,699,3,4,0,7,4,0,0,100,0
Ultra,2499,44,7,6,4,3,0,1,1000,1
Ultra,2499,40,7,8,8,5,0,0,1000,1
Plus,999,16,1,0,1,1,1,0,200,0
Ultra,2499,39,4,8,2,2,0,0,1000,1
Basic,699,1,10,5,3,2,0,0,100,1
Basic,699,37,8,7,4,4,0,1,100,1
Ultra,2499,23,0,6,1,3,0,1,1000,1
Premium,1499,52,4,2,1,3,0,0,500,0
Basic,699,5,5,8,8,1,0,0,100,1
Basic,699,43,3,5,6,0,1,0,100,1
Ultra,2499,33,7,2,8,6,0,1,1000,1
Plus,999,7,8,5,7,3,1,0,200,1
Premium,1499,29,0,5,6,5,0,0,500,1
Premium,1499,49,5,8,1,2,1,1,500,1
Basic,699,51,8,8,8,1,0,0,100,1
Basic,699,12,3,7,1,6,1,0,100,1
Plus,999,8,8,5,8,0,1,1,200,1
Premium,1499,14,8,3,3,6,1,1,500,1
Premium,1499,1,1,4,4,5,1,0,500,1
Basic,699,21,3,4,0,4,1,0,100,0
Premium,1499,33,10,8,3,6,1,1,500,1
Basic,699,21,10,3,5,6,1,1,100,1
Ultra,2499,57,4,5,0,4,0,0,1000,1
Ultra,2499,13,0,7,6,6,0,0,1000,1
Basic,699,27,9,5,3,2,1,0,100,1
Ultra,2499,9,4,7,5,3,1,0,1000,1
Ultra,2499,23,8,0,5,1,0,1,1000,1
Plus,999,27,6,2,8,0,0,0,200,1
Ultra,2499,48,4,2,0,5,1,0,1000,0
Ultra,2499,48,3,0,2,4,0,1,1000,0
Plus,999,22,10,8,3,4,0,1,200,1
Premium,1499,46,8,3,5,2,1,1,500,1
Plus,999,17,8,7,5,5,1,0,200,1
